995 2918
914 288 18
184 237 248
143 498 788
377 455 851
130 296 772
637 475 1000
776 286 693
539 790 432
323 876 537
918 727 224
300 497 113
190 806 9
833 492 663
864 646 710
752 253 346
486 975 636
63 697 623
482 111 288
298 567 1
197 567 725
64 578 520
48 389 819
90 756 23
505 373 648
693 174 860
461 857 758
391 359 393
567 608 363
320 518 659
607 476 893
445 161 462
94 827 626
699 954 26
252 462 894
819 415 656
713 622 782
583 512 875
13 819 142
46 608 765
827 65 468
715 361 558
155 881 660
576 567 42
468 117 539
649 548 596
305 950 636
797 369 515
587 250 307
558 663 986
592 819 380
233 89 9
153 539 313
785 766 737
870 721 985
543 455 233
166 539 459
344 364 295
326 376 27
281 159 653
534 548 932
171 215 474
161 307 271
21 733 694
943 740 614
658 697 78
63 472 551
168 991 10
775 542 126
561 868 359
962 377 284
768 253 192
416 482 66
830 804 512
619 735 251
75 799 606
187 293 880
584 332 713
668 457 353
507 902 765
749 859 361
927 540 935
551 409 392
768 180 206
322 504 36
825 521 627
599 820 371
338 271 290
630 267 988
516 946 441
469 461 427
915 384 330
748 41 492
519 367 606
573 515 141
444 961 910
589 504 918
507 777 385
629 438 796
353 628 150
924 912 772
224 257 460
100 819 783
439 470 820
395 753 365
517 39 274
633 814 697
758 766 4
56 799 626
225 663 223
661 572 415
915 154 520
513 680 386
843 636 83
460 749 520
737 810 363
765 515 382
609 250 394
372 936 998
984 254 362
168 166 916
804 821 916
411 2 833
541 6 842
981 526 95
809 119 320
418 694 653
789 475 627
12 668 169
372 340 235
773 671 540
38 497 291
893 577 702
305 468 271
972 433 916
930 897 737
87 327 847
280 519 306
230 323 538
420 45 415
937 921 839
268 687 487
395 810 382
42 383 267
200 685 106
729 136 562
756 441 152
109 60 176
372 522 963
253 784 658
413 946 800
888 374 102
768 83 125
523 417 280
499 873 865
785 854 728
627 169 5
379 57 136
365 441 393
871 577 525
686 840 374
377 957 193
791 903 803
808 899 435
453 458 275
467 958 117
893 985 811
432 458 944
170 735 850
915 606 495
924 555 473
400 850 763
24 280 822
275 127 816
331 351 42
527 327 339
897 618 135
764 722 209
350 457 235
891 413 162
841 367 787
886 804 347
649 117 140
300 299 298
856 32 642
179 978 830
92 572 462
213 442 141
349 954 764
140 749 445
718 934 323
4 85 65
292 840 829
734 824 861
502 414 74
538 365 474
348 801 459
517 363 343
209 675 84
870 310 357
719 612 38
256 902 80
865 752 707
614 340 854
198 485 19
302 673 793
924 72 369
69 310 160
687 664 992
289 977 842
935 794 300
545 813 292
432 675 327
13 577 265
817 475 371
550 184 866
559 527 801
732 921 575
408 986 303
972 20 899
604 36 238
626 474 255
691 322 113
31 150 296
994 310 878
161 428 470
822 703 307
96 595 716
736 139 35
722 93 969
498 5 707
919 708 24
224 633 417
601 262 492
707 715 486
639 317 618
296 48 826
757 334 97
909 991 415
643 306 885
744 330 55
351 740 488
670 198 508
187 861 952
484 17 902
687 124 833
953 761 937
259 547 559
958 488 917
722 714 418
449 126 444
791 54 421
583 245 675
142 611 553
136 545 592
644 578 834
716 94 914
177 113 681
672 344 347
673 147 853
806 846 653
936 349 154
238 422 273
713 579 408
405 965 171
922 300 858
484 604 641
502 808 693
745 627 120
978 535 464
915 337 967
259 175 240
317 843 807
45 536 605
205 793 837
333 64 329
310 215 256
496 72 709
819 234 500
373 835 96
135 704 294
543 931 593
645 192 749
99 682 31
867 794 907
655 698 433
336 620 750
560 534 825
627 532 575
126 508 271
566 953 309
217 585 343
447 973 292
271 206 592
260 408 634
623 634 865
631 938 701
829 780 21
336 330 686
158 989 467
6 562 467
833 403 28
570 876 976
743 960 716
328 258 107
928 688 545
870 86 622
433 596 119
873 214 1
123 232 188
8 64 250
557 869 122
774 984 332
814 360 946
275 535 476
86 431 964
382 770 544
782 827 918
397 885 79
319 696 590
111 354 767
868 135 551
383 320 28
40 892 989
191 821 538
231 537 803
378 821 5
29 674 802
871 634 39
189 628 405
336 5 161
261 376 899
366 313 569
418 414 711
364 491 514
319 985 637
281 359 167
236 177 311
406 147 938
994 635 419
567 380 862
797 182 436
211 742 538
762 326 940
383 855 779
645 486 310
405 646 399
771 138 7
244 73 786
937 543 190
62 895 292
632 774 776
124 328 433
678 236 42
612 559 468
723 843 721
441 314 779
135 938 925
780 23 621
356 871 433
156 911 19
479 766 338
641 151 50
127 868 316
206 75 834
366 362 358
829 515 790
325 235 144
457 245 156
573 52 397
334 277 62
321 848 325
875 170 36
838 807 277
328 11 282
492 416 862
712 597 636
320 697 639
268 789 622
404 128 503
32 171 517
976 882 311
565 352 84
136 304 791
177 242 766
704 750 673
680 774 494
47 116 985
256 584 808
600 197 801
13 866 975
143 279 699
507 275 410
838 471 501
405 38 880
373 91 28
300 409 282
456 329 173
237 414 159
293 972 920
715 582 94
695 334 446
424 780 995
661 2 299
33 209 479
40 24 730
848 863 846
346 196 422
498 109 428
491 888 405
625 115 67
711 689 907
433 530 833
346 123 678
624 421 907
811 583 488
516 133 312
358 897 684
993 642 200
810 651 594
299 333 448
414 343 240
497 627 823
931 112 126
33 297 258
727 908 351
73 446 762
884 660 884
409 666 145
359 190 462
915 45 865
161 374 499
400 722 756
249 455 279
72 370 163
738 915 773
854 898 300
197 298 568
821 713 918
901 643 381
246 132 235
677 138 897
642 798 68
187 148 54
592 118 983
819 597 635
381 198 322
175 467 305
801 284 365
974 911 891
679 824 555
372 985 236
106 185 162
292 89 797
621 365 57
236 420 577
895 712 241
842 459 142
27 549 930
770 203 266
523 274 342
94 80 625
51 172 555
90 583 90
629 397 887
750 733 247
320 627 552
387 801 707
599 948 4
438 72 626
615 531 674
387 421 565
233 634 291
41 609 950
922 179 97
718 257 106
750 373 573
558 759 879
481 952 32
922 141 611
385 572 161
768 630 743
695 562 845
214 687 532
720 273 956
573 357 843
413 281 178
948 113 600
903 493 300
535 28 477
63 316 474
767 756 759
20 316 786
525 391 523
774 897 273
925 847 221
889 38 756
624 19 252
194 968 928
952 591 796
130 278 395
875 749 288
842 615 163
355 645 376
782 39 134
973 945 775
850 786 780
284 514 472
68 956 406
727 616 972
430 969 974
437 221 226
324 75 553
74 511 109
975 193 283
772 970 617
750 133 735
824 950 544
554 264 241
367 569 356
443 408 550
789 710 312
683 313 761
165 39 411
888 668 130
474 893 618
982 38 367
17 8 787
37 405 905
513 587 937
695 274 837
87 347 379
237 935 861
279 365 848
805 89 208
96 639 477
977 792 640
140 687 455
584 722 525
908 512 361
713 445 209
545 355 512
112 357 951
617 938 922
410 147 132
462 221 957
355 632 402
755 458 219
825 436 159
541 409 987
177 580 375
88 933 770
154 790 996
809 663 281
331 448 8
167 586 53
248 830 967
623 792 632
910 647 545
554 550 856
193 372 386
763 478 580
876 865 606
628 223 970
272 50 567
986 557 853
622 530 797
573 663 983
908 532 418
464 737 427
168 296 248
848 423 29
24 838 789
702 759 292
754 104 354
932 185 496
974 225 721
210 575 897
14 222 611
442 396 381
689 795 847
414 253 332
223 722 577
662 992 151
264 702 759
823 227 315
119 879 857
883 332 343
